pair,symbol,group,pump_time,source
PPTBTC,PPT,BPS,2018-01-03 18:00:00+00:00,lamorgia
KMDBTC,KMD,BPS,2018-01-04 16:00:00+00:00,lamorgia
NAVBTC,NAV,BPS,2018-01-07 18:00:00+00:00,lamorgia
DGDBTC,DGD,BPS,2018-01-09 20:00:00+00:00,lamorgia
GVTBTC,GVT,BPS,2018-01-13 20:00:00+00:00,lamorgia
ICNBTC,ICN,BPS,2018-01-15 16:59:00+00:00,lamorgia
BNTBTC,BNT,BPS,2018-01-20 19:00:00+00:00,lamorgia
XZCBTC,XZC,BPS,2018-01-23 18:00:00+00:00,lamorgia
BNTBTC,BNT,BPS,2018-01-27 18:00:00+00:00,lamorgia
MODBTC,MOD,BPS,2018-02-12 19:00:00+00:00,lamorgia
DLTBTC,DLT,BPS,2018-03-11 20:00:00+00:00,lamorgia
DLTBTC,DLT,TCG,2018-03-22 16:00:00+00:00,lamorgia
DNTBTC,DNT,BPS,2018-03-24 18:30:00+00:00,lamorgia
MDABTC,MDA,TCG,2018-03-25 16:30:00+00:00,lamorgia
SNGLSBTC,SNGLS,FCS,2018-03-26 18:03:00+00:00,lamorgia
MTHBTC,MTH,FCS,2018-03-30 18:00:00+00:00,lamorgia
MDABTC,MDA,FCS,2018-03-31 16:59:00+00:00,lamorgia
MDABTC,MDA,TCG,2018-03-31 17:00:00+00:00,lamorgia
ICNBTC,ICN,FCS,2018-04-02 16:00:00+00:00,lamorgia
EVXBTC,EVX,FCS,2018-04-02 16:30:00+00:00,lamorgia
CHATBTC,CHAT,FCS,2018-04-03 16:00:00+00:00,lamorgia
ICNBTC,ICN,BPS,2018-04-04 19:00:00+00:00,lamorgia
RLCBTC,RLC,LUX,2018-04-09 15:00:00+00:00,lamorgia
NAVBTC,NAV,FCS,2018-04-09 17:00:00+00:00,lamorgia
ARNBTC,ARN,FCS,2018-04-10 16:30:00+00:00,lamorgia
SNGLSBTC,SNGLS,BPS,2018-04-10 19:00:00+00:00,lamorgia
TNTBTC,TNT,BPS,2018-04-14 17:00:00+00:00,lamorgia
OAXBTC,OAX,TCG,2018-04-15 14:57:00+00:00,lamorgia
MDABTC,MDA,FCS,2018-04-17 16:30:00+00:00,lamorgia
OAXBTC,OAX,BPS,2018-04-29 19:00:00+00:00,lamorgia
DLTBTC,DLT,WCG,2018-05-10 15:30:00+00:00,lamorgia
YOYOWBTC,YOYOW,BPS,2018-05-12 18:00:00+00:00,lamorgia
YOYOWBTC,YOYOW,C4P,2018-05-12 18:02:00+00:00,lamorgia
MODBTC,MOD,FCS,2018-05-18 15:00:00+00:00,lamorgia
DLTBTC,DLT,FCS,2018-06-06 13:00:00+00:00,lamorgia
CHATBTC,CHAT,BPS,2018-06-10 20:00:00+00:00,lamorgia
MDABTC,MDA,BPF,2018-06-15 14:59:00+00:00,lamorgia
BCDBTC,BCD,BPF,2018-06-18 15:00:00+00:00,lamorgia
EVXBTC,EVX,TCC,2018-06-19 15:30:00+00:00,lamorgia
ASTBTC,AST,FCS,2018-06-21 14:30:00+00:00,lamorgia
TNTBTC,TNT,TCG,2018-06-23 15:59:00+00:00,lamorgia
ICNBTC,ICN,TCG,2018-06-27 17:00:00+00:00,lamorgia
CLOAKBTC,CLOAK,BPS,2018-07-01 19:00:00+00:00,lamorgia
NXSBTC,NXS,BPS,2018-07-04 18:59:00+00:00,lamorgia
WABIBTC,WABI,TCG,2018-07-06 16:00:00+00:00,lamorgia
VIBEBTC,VIBE,TCG,2018-07-14 17:00:00+00:00,lamorgia
PIVXBTC,PIVX,WCG,2018-07-19 15:59:00+00:00,lamorgia
QLCBTC,QLC,BPS,2018-07-28 19:00:00+00:00,lamorgia
SNGLSBTC,SNGLS,BPF,2018-08-03 15:00:00+00:00,lamorgia
ICNBTC,ICN,BPG,2018-08-08 16:00:00+00:00,lamorgia
TNBBTC,TNB,WCG,2018-08-17 15:00:00+00:00,lamorgia
OAXBTC,OAX,BPG,2018-08-17 16:00:00+00:00,lamorgia
RDNBTC,RDN,BPG,2018-08-21 16:00:00+00:00,lamorgia
DLTBTC,DLT,BPG,2018-08-23 16:00:00+00:00,lamorgia
RDNBTC,RDN,BPG,2018-09-04 15:30:00+00:00,lamorgia
ASTBTC,AST,BPG,2018-09-07 15:30:00+00:00,lamorgia
VIBEBTC,VIBE,BPS,2018-09-09 19:00:00+00:00,lamorgia
ICNBTC,ICN,BPG,2018-09-11 15:30:00+00:00,lamorgia
ICNBTC,ICN,BPF,2018-09-19 18:22:00+00:00,lamorgia
KMDBTC,KMD,BPF,2018-09-20 20:11:00+00:00,lamorgia
